"date","temperature","co2","humidity","battery","voc","warm","cold","windy","heavyair","good","tired","itchyeyes","lighting","blinded","noisy"
"2023-11-25 01:30:00",20.6,,39,,,,,,,,,,,,
"2023-11-25 01:40:00",20.7,,39,,,,,,,,,,,,
"2023-11-25 01:50:00",20.6,,39,,,,,,,,,,,,
"2023-11-25 02:00:00",20.6,,39,,,,,,,,,,,,
"2023-11-25 02:10:00",20.6,,39,,,,,,,,,,,,
"2023-11-25 02:20:00",20.6,,39,,,,,,,,,,,,
"2023-11-25 02:30:00",20.6,,39,,,,,,,,,,,,
"2023-11-25 02:40:00",20.6,,39,,,,,,,,,,,,
"2023-11-25 02:50:00",20.6,,39,,,,,,,,,,,,
"2023-11-25 03:00:00",20.6,,39,,,,,,,,,,,,
"2023-11-25 03:10:00",20.6,,40,,,,,,,,,,,,
"2023-11-25 03:20:00",20.6,,40,,,,,,,,,,,,
"2023-11-25 03:30:00",20.6,,40,,,,,,,,,,,,
"2023-11-25 03:40:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 03:50:00",20.6,,40,,,,,,,,,,,,
"2023-11-25 04:00:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 04:10:00",20.6,,40,,,,,,,,,,,,
"2023-11-25 04:20:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 04:30:00",20.6,,40,,,,,,,,,,,,
"2023-11-25 04:40:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 04:50:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 05:00:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 05:10:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 05:20:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 05:30:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 05:40:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 05:50:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 06:00:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 06:10:00",20.5,,41,,,,,,,,,,,,
"2023-11-25 06:20:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 06:30:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 06:40:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 06:50:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 07:00:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 07:10:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 07:20:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 07:30:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 07:40:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 07:50:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 08:00:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 08:10:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 08:20:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 08:30:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 08:40:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 08:50:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 09:00:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 09:10:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 09:20:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 09:30:00",20.5,,41,,,,,,,,,,,,
"2023-11-25 09:40:00",20.5,,41,,,,,,,,,,,,
"2023-11-25 09:50:00",20.5,,42,,,,,,,,,,,,
"2023-11-25 10:00:00",20.5,,42,,,,,,,,,,,,
"2023-11-25 10:10:00",20.6,,42,,,,,,,,,,,,
"2023-11-25 10:20:00",20.6,,42,,,,,,,,,,,,
"2023-11-25 10:30:00",20.6,,42,,,,,,,,,,,,
"2023-11-25 10:40:00",20.6,,42,,,,,,,,,,,,
"2023-11-25 10:50:00",20.7,,42,,,,,,,,,,,,
"2023-11-25 11:00:00",20.7,,42,,,,,,,,,,,,
"2023-11-25 11:10:00",20.8,,42,,,,,,,,,,,,
"2023-11-25 11:20:00",20.7,,42,,,,,,,,,,,,
"2023-11-25 11:30:00",20.6,,42,,,,,,,,,,,,
"2023-11-25 11:40:00",20.6,,42,,,,,,,,,,,,
"2023-11-25 11:50:00",20.6,,42,,,,,,,,,,,,
"2023-11-25 12:00:00",20.7,,42,,,,,,,,,,,,
"2023-11-25 12:10:00",20.9,,42,,,,,,,,,,,,
"2023-11-25 12:20:00",20.9,,41,,,,,,,,,,,,
"2023-11-25 12:30:00",21,,41,,,,,,,,,,,,
"2023-11-25 12:40:00",21,,41,,,,,,,,,,,,
"2023-11-25 12:50:00",20.9,,40,,,,,,,,,,,,
"2023-11-25 13:00:00",20.9,,40,,,,,,,,,,,,
"2023-11-25 13:10:00",20.9,,40,,,,,,,,,,,,
"2023-11-25 13:20:00",20.8,,40,,,,,,,,,,,,
"2023-11-25 13:30:00",20.8,,40,,,,,,,,,,,,
"2023-11-25 13:40:00",20.8,,40,,,,,,,,,,,,
"2023-11-25 13:50:00",20.8,,40,,,,,,,,,,,,
"2023-11-25 14:00:00",20.7,,40,,,,,,,,,,,,
"2023-11-25 14:10:00",20.7,,40,,,,,,,,,,,,
"2023-11-25 14:20:00",20.7,,40,,,,,,,,,,,,
"2023-11-25 14:30:00",20.7,,40,,,,,,,,,,,,
"2023-11-25 14:40:00",20.7,,40,,,,,,,,,,,,
"2023-11-25 14:50:00",20.6,,40,,,,,,,,,,,,
"2023-11-25 15:00:00",20.6,,40,,,,,,,,,,,,
"2023-11-25 15:10:00",20.6,,40,,,,,,,,,,,,
"2023-11-25 15:20:00",20.6,,40,,,,,,,,,,,,
"2023-11-25 15:30:00",20.6,,40,,,,,,,,,,,,
"2023-11-25 15:40:00",20.6,,40,,,,,,,,,,,,
"2023-11-25 15:50:00",20.6,,40,,,,,,,,,,,,
"2023-11-25 16:00:00",20.6,,40,,,,,,,,,,,,
"2023-11-25 16:10:00",20.6,,40,,,,,,,,,,,,
"2023-11-25 16:20:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 16:30:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 16:40:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 16:50:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 17:00:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 17:10:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 17:20:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 17:30:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 17:40:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 17:50:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 18:00:00",20.4,,40,,,,,,,,,,,,
"2023-11-25 18:10:00",20.4,,40,,,,,,,,,,,,
"2023-11-25 18:20:00",20.4,,40,,,,,,,,,,,,
"2023-11-25 18:30:00",20.4,,40,,,,,,,,,,,,
"2023-11-25 18:40:00",20.4,,40,,,,,,,,,,,,
"2023-11-25 18:50:00",20.4,,40,,,,,,,,,,,,
"2023-11-25 19:00:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 19:10:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 19:20:00",20.5,,41,,,,,,,,,,,,
"2023-11-25 19:30:00",20.5,,40,,,,,,,,,,,,
"2023-11-25 19:40:00",20.4,,40,,,,,,,,,,,,
"2023-11-25 19:50:00",20.3,,40,,,,,,,,,,,,
"2023-11-25 20:00:00",20.3,,40,,,,,,,,,,,,
"2023-11-25 20:10:00",20.2,,40,,,,,,,,,,,,
"2023-11-25 20:20:00",20.2,,40,,,,,,,,,,,,
"2023-11-25 20:30:00",20.2,,40,,,,,,,,,,,,
"2023-11-25 20:40:00",20.3,,40,,,,,,,,,,,,
"2023-11-25 20:50:00",20.3,,40,,,,,,,,,,,,
"2023-11-25 21:00:00",20.3,,40,,,,,,,,,,,,
"2023-11-25 21:10:00",20.3,,40,,,,,,,,,,,,
"2023-11-25 21:20:00",20.3,,40,,,,,,,,,,,,
"2023-11-25 21:30:00",20.3,,40,,,,,,,,,,,,
"2023-11-25 21:40:00",20.3,,40,,,,,,,,,,,,
"2023-11-25 21:50:00",20.4,,40,,,,,,,,,,,,
"2023-11-25 22:00:00",20.4,,40,,,,,,,,,,,,
"2023-11-25 22:10:00",20.4,,40,,,,,,,,,,,,
"2023-11-25 22:20:00",20.3,,40,,,,,,,,,,,,
"2023-11-25 22:30:00",20.3,,40,,,,,,,,,,,,
"2023-11-25 22:40:00",20.4,,40,,,,,,,,,,,,
"2023-11-25 22:50:00",20.4,,40,,,,,,,,,,,,
"2023-11-25 23:00:00",20.4,,40,,,,,,,,,,,,
"2023-11-25 23:10:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 23:20:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 23:30:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 23:40:00",20.4,,41,,,,,,,,,,,,
"2023-11-25 23:50:00",20.4,,41,,,,,,,,,,,,
"2023-11-26 00:00:00",20.4,,41,,,,,,,,,,,,
